
# Merge run @ 2026-05-09T14:59:33.914516+00:00
  winner=2  losers=[214,502,2237,2248]  ckey='ابيه'  refs=923
  winner=669  losers=[1,62,91,615,1278,1280,2139,2140,2158]  ckey='ابي عبد الله'  refs=641
  winner=4  losers=[889,1434]  ckey='محمد بن يحيي'  refs=477
  winner=3  losers=[1435,3039,3257]  ckey='علي بن ابراهيم'  refs=432
  winner=23  losers=[3256]  ckey='حماد'  refs=262
  winner=9  losers=[139,191,2063]  ckey='ابي جعفر'  refs=225
  winner=10  losers=[1433]  ckey='ابن محبوب'  refs=197
  winner=50  losers=[427,1561]  ckey='علي'  refs=125
  winner=208  losers=[1422]  ckey='جعفر بن محمد'  refs=80
  winner=102  losers=[3486]  ckey='عبد الرحمن بن ابي عبد الله'  refs=46
  winner=63  losers=[2558]  ckey='الحسن بن علي'  refs=36
  winner=219  losers=[673]  ckey='احمد بن مهران'  refs=36
  winner=3254  losers=[976]  ckey='ابو بصير'  refs=35
  winner=312  losers=[195,490,1158,3756]  ckey='علي بن الحسين'  refs=32
  winner=381  losers=[2595]  ckey='الحسين'  refs=30
  winner=662  losers=[190,1786,1787]  ckey='ابايه'  refs=24
  winner=145  losers=[3044]  ckey='علي بن حسان'  refs=21
  winner=154  losers=[3041]  ckey='الحسين بن محمد الاشعري'  refs=14
  winner=253  losers=[1416,1417,2971,2972,2978]  ckey='جده'  refs=13
  winner=64  losers=[839,840,980,1245]  ckey='ابي الحسن'  refs=11
  winner=98  losers=[983,1243,1969,1970]  ckey='ابي الحسن الرضا'  refs=11
  winner=371  losers=[3043]  ckey='علي بن ابراهيم بن هاشم'  refs=9
  winner=453  losers=[1700]  ckey='موسي بن جعفر'  refs=9
  winner=169  losers=[3038]  ckey='بكر بن صالح'  refs=6
  winner=184  losers=[2687,2689]  ckey='الرضا'  refs=5
  winner=766  losers=[2636]  ckey='الحسين بن علي'  refs=4
  winner=58  losers=[755,2258]  ckey='احدهما'  refs=3
  winner=3255  losers=[4524]  ckey='ايضا'  refs=3
  winner=194  losers=[1936,1939]  ckey='ابي ابراهيم'  refs=2
  winner=206  losers=[742]  ckey='ابي الحسن موسي'  refs=2
  winner=841  losers=[235]  ckey='ابي الحسن الاول'  refs=2
  winner=394  losers=[1056,1057]  ckey='امير المومنين'  refs=2
  winner=2611  losers=[1350]  ckey='الحسين بن الحسن الحسني'  refs=2
  winner=2320  losers=[2319]  ckey='احمد بن علي بن محمد بن عبد الله بن عمر بن علي بن ابي طالب'  refs=2
  winner=521  losers=[1978,1979]  ckey='ابي الحسن الماضي'  refs=1
  winner=2836  losers=[2837]  ckey='اليهم'  refs=1
  winner=1262  losers=[744]  ckey='ابي جعفر او ابي عبد الله'  refs=0
  winner=919  losers=[3640]  ckey='عبد صالح'  refs=0
  winner=1008  losers=[2370,2371]  ckey='اخيه ابي الحسن موسي'  refs=0
  winner=1053  losers=[2805]  ckey='النبي'  refs=0
  winner=1170  losers=[1603]  ckey='عنهم'  refs=0
  winner=1404  losers=[2891,2892]  ckey='بعض اصحاب ابي عبد الله'  refs=0
  winner=1412  losers=[1411]  ckey='بعضهم'  refs=0
  winner=3258  losers=[1713]  ckey='نادر الخادم'  refs=0
  winner=1915  losers=[1916]  ckey='ابو جعفر'  refs=0
  winner=2153  losers=[2154]  ckey='ابي عبد الله او ابي جعفر'  refs=0
  winner=2709  losers=[2708]  ckey='الشيخ'  refs=0
