count	ckey	example_surface	example_path	top_book
385	ما كان في	ما كان في	books/man-la-yahduruhu-al-faqih/5/10/1.json	man-la-yahduruhu-al-faqih
340	محمد بن الحسن بن احمد بن الوليد	محمد بن الحسن بن أحمد بن الوليد (رضي الله عنه)، قال	books/al-amali-saduq/1/8.json	al-khisal
265	محمد بن موسي بن المتوكل	محمد بن موسى بن المتوكل (رحمه الله)، قال	books/al-amali-saduq/11/6.json	thawab-al-amal
204	محمد بن علي ماجيلويه	محمد بن علي ماجيلويه (رحمه الله)، قال	books/al-amali-saduq/38/4.json	al-khisal
145	ابي علي الاشعري	أبي علي الأشعري 	books/al-istibsar/3/101/2.json	tahdhib-al-ahkam
132	الحسين بن الحسن بن ابان	الحُسَينِ بنِ الحَسَنِ بنِ أَبَانٍ	books/al-istibsar/2/31/1.json	tahdhib-al-ahkam
126	ابن ابي عمير عن حماد	ابنِ أَبِي عُمَيرٍ عَن حَمّادٍ	books/al-istibsar/4/12/2.json	al-istibsar
121	ابي القاسم جعفر بن محمد	أبي القاسم جعفر بن محمد	books/al-istibsar/2/12/1.json	tahdhib-al-ahkam
112	الحلبي عن ابي عبد الله	الحلَبَيِ ّ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/4/12/2.json	al-istibsar
105	ابي عبد الله عليه السلام : انه سيل	أَبِي عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ : أَنَّهُ سُئِلَ	books/man-la-yahduruhu-al-faqih/4/22/21.json	tahdhib-al-ahkam
95	محمد بن يعقوب عن علي بن ابراهيم عن ابيه	مُحَمّدُ بنُ يَعقُوبَ عَن عَلِيّ بنِ اِبرَاهِيمَ عَن أَبِيهِ	books/al-istibsar/4/13/3.json	al-istibsar
93	الصادق جعفر بن محمد	الصَّادِقِ جَعْفَرِ بْنِ مُحَمَّدٍ	books/al-amali-mufid/42/1/1.json	al-amali-saduq
92	احمد بن محمد بن يحيي العطار	أحمد بن محمد بن يحيى العطار، قال	books/al-amali-saduq/1/19.json	al-khisal
83	احمد بن الحسن القطان	أحمد بن الحسن القطان، قال	books/al-amali-saduq/18/10.json	al-khisal
74	ابي المعزي	أبي المعزي	books/al-istibsar/4/36/33.json	tahdhib-al-ahkam
71	عمه محمد بن ابي القاسم	عمه محمد بن أبي القاسم،	books/al-amali-saduq/24/5.json	maani-al-akhbar
64	علي بن ابراهيم عن ابيه	عَلِيّ بنُ اِبرَاهِيمَ عَن أَبِيهِ	books/al-istibsar/4/1/15.json	al-istibsar
63	الشيخ رحمه الله عن احمد بن محمد عن ابيه	أخَبرَنَيِ الشّيخُ رَحِمَهُ اللّهُ عَن أَحمَدَ بنِ مُحَمّدٍ عَن أَبِيهِ	books/al-istibsar/2/31/1.json	al-istibsar
63	علي بن احمد بن محمد بن عمران الدقاق	علي بن أحمد بن محمد بن عمران الدقاق رحمه الله: قال	books/al-tawhid/2/10/1.json	al-tawhid
61	ابي عبدالله	أبي عبدالله عليه السلام قال	books/kitab-al-ghayba-tusi/38/7.json	mujam-al-ahadith-al-mutabara
57	محمد بن همام	محمد بن همام قال	books/kitab-al-ghayba-numani/2/10/1.json	kitab-al-ghayba-numani
54	جعفر بن محمد بن مسرور	جعفر بن محمد بن مسرور (رحمه الله)، قال	books/al-amali-saduq/1/17.json	al-amali-saduq
54	جماعه مشايخي	حَدَّثَنِي جَمَاعَةُ مَشَايِخِي	books/kamil-al-ziyarat/2/101/1.json	kamil-al-ziyarat
52	الحسين بن احمد بن ادريس	الحسين بن أحمد بن إدريس (رحمه الله)، قال	books/al-amali-saduq/1/13.json	al-amali-saduq
52	سيل الصادق	سُئِلَ اَلصَّادِقُ عَلَيْهِ اَلسَّلاَمُ :	books/man-la-yahduruhu-al-faqih/4/17/8.json	man-la-yahduruhu-al-faqih
51	محمد بن عبد الله بن جعفر الحميري	حَدَّثَنِي مُحَمَّدُ بْنُ عَبْدِ اللَّهِ بْنِ جَعْفَرٍ الْحِمْيَرِيُّ	books/kamil-al-ziyarat/2/10/2.json	kamil-al-ziyarat
50	ابي عبد الله ( عليه السلام ) انه سيل	أَبِي عَبْدِ اللَّهِ ( عليه السلام ) أَنَّهُ سُئِلَ	books/al-kafi/7/4/3/3.json	al-kafi
48	احمد بن زياد بن جعفر الهمداني	أحمد بن زياد بن جعفر الهمداني (رحمه الله)، قال	books/al-amali-saduq/37/3.json	al-khisal
48	عن احمد بن محمد	عَنْ أَحْمَدَ بْنِ مُحَمَّدٍ	books/kamil-al-ziyarat/2/14/7.json	tahdhib-al-ahkam
47	وبالاسناد الاول	وبالإسناد الأول	books/al-amali-mufid/23/10/1.json	al-amali-mufid
46	علي‏	عَلِيٍ‏ عَلَيْهِ السَّلامُ قال	books/uyun-akhbar-al-rida/2/1/118.json	uyun-akhbar-al-rida
45	الشيخ الجليل ابو جعفر محمد بن علي بن الحسين بن موسي ابن بابويه القمي	الشيخ الجليل أبو جعفر محمد بن علي بن الحسين بن موسى ابن بابويه القمي (رحمه الله)، قال	books/al-amali-saduq/1/1.json	al-amali-saduq
45	عن ابي القاسم جعفر بن محمد	عَنْ أَبِي اَلْقَاسِمِ جَعْفَرِ بْنِ مُحَمَّدٍ	books/tahdhib-al-ahkam/1/18/12.json	tahdhib-al-ahkam
43	الحسين بن سعيد عن صفوان	الحُسَينُ بنُ سَعِيدٍ عَن صَفوَانَ	books/al-istibsar/4/1/7.json	al-istibsar
42	محمد بن علي الكوفي	محمد بن علي الكوفي،	books/al-amali-saduq/31/4.json	thawab-al-amal
36	محمد بن الحسن بن الوليد	مُحَمَّدِ بنِ الحَسَنِ بنِ الوَلِيدِ	books/al-istibsar/1/10/1.json	kitab-al-ghayba-tusi
35	سال علي بن جعفر اخاه موسي بن جعفر	سَأَلَ عَلِيُّ بْنُ جَعْفَرٍ أَخَاهُ مُوسَى بْنَ جَعْفَرٍ عَلَيْهِمَا اَلسَّلاَمُ :	books/man-la-yahduruhu-al-faqih/3/3/47/18.json	man-la-yahduruhu-al-faqih
34	محمد بن ابراهيم بن اسحاق الطالقاني	محمد بن إبراهيم بن إسحاق الطالقاني	books/al-amali-saduq/39/12.json	al-khisal
34	الحسين بن سعيد عن فضاله	الحُسَينُ بنُ سَعِيدٍ عَن فَضَالَةَ	books/al-istibsar/4/20/7.json	al-istibsar
34	ما اخبرني به الشيخ	مَا أَخْبَرَنِي بِهِ اَلشَّيْخُ أَيَّدَهُ اَللَّهُ تَعَالَى	books/tahdhib-al-ahkam/1/16/30.json	tahdhib-al-ahkam
32	العلاء عن محمد بن مسلم عن احدهما	العَلَاءِ عَن مُحَمّدِ بنِ مُسلِمٍ عَن أَحَدِهِمَا ع	books/al-istibsar/4/1/7.json	al-istibsar
32	محمد بن يعقوب عن محمد بن يحيي عن احمد بن محمد	مُحَمّدُ بنُ يَعقُوبَ عَن مُحَمّدِ بنِ يَحيَي عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/4/30/6.json	al-istibsar
31	حريز عمن اخبره	حَرِيزٍ عَمَّنْ أَخْبَرَهُ	books/al-kafi/8/1/46/24.json	al-kafi
30	احمد بن عبدون	أخبرني أحمد بن عبدون	books/al-istibsar/2/11/1.json	tahdhib-al-ahkam
29	احمد بن محمد بن يحيي	أحمد بن محمد بن يحيي	books/al-istibsar/1/101/1.json	al-istibsar
29	وقال رسول الله صلي الله عليه	وَقَالَ رَسُولُ اَللَّهِ صَلَّى اَللَّهُ عَلَيْهِ	books/man-la-yahduruhu-al-faqih/1/17/6.json	man-la-yahduruhu-al-faqih
28	عنه عن علي بن ابراهيم عن ابيه	عَنهُ عَن عَلِيّ بنِ اِبرَاهِيمَ عَن أَبِيهِ	books/al-istibsar/4/13/4.json	al-istibsar
28	محمد بن علي بن ماجيلويه	محمد بن علي بن ماجيلويه رضي الله عنه قال	books/al-khisal/17/2/1.json	thawab-al-amal
28	محمد بن احمد بن داود	مُحَمَّدُ بْنُ أَحْمَدَ بْنِ دَاوُدَ	books/tahdhib-al-ahkam/6/10/10.json	tahdhib-al-ahkam
27	ابي جعفر محمد بن علي	أَبِي جَعْفَرٍ مُحَمَّدِ بْنِ عَلِيٍّ عَلَيْهِمَا السَّلَامُ	books/al-amali-mufid/37/3/1.json	tahdhib-al-ahkam
27	قول الله عز	قَوْلِ اللَّهِ عَزَّ	books/al-kafi/8/1/17/8.json	man-la-yahduruhu-al-faqih
26	علي بن احمد بن عبد الله بن احمد بن ابي عبد الله البرقي	علي بن أحمد بن عبد الله بن أحمد بن أبي عبد الله البرقي (رحمه الله)، قال	books/al-amali-saduq/1/18.json	al-amali-saduq
26	علي بن احمد بن موسي	علي بن أحمد بن موسى (رضي الله عنه)، قال	books/al-amali-saduq/48/12.json	al-khisal
26	علي بن محمد بن الزبير	علي بن محمد بن الزبير	books/al-istibsar/2/11/1.json	al-istibsar
26	سعد بن عبد الله عن احمد بن محمد	سَعدُ بنُ عَبدِ اللّهِ عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/2/115/2.json	al-istibsar
26	الخليل بن احمد	أخبرنا الخليل بن أحمد قال	books/al-khisal/8/6/1.json	al-khisal
24	عنه عن صفوان	عَنهُ عَن صَفوَانَ	books/al-istibsar/4/1/6.json	al-istibsar
24	الحسن عن زرعه عن سماعه	الحَسَنِ عَن زُرعَةَ عَن سَمَاعَةَ	books/al-istibsar/4/36/4.json	al-istibsar
23	محمد بن ابراهيم بن اسحاق	محمد بن إبراهيم بن إسحاق (رحمه الله)، قال	books/al-amali-saduq/12/3.json	al-amali-saduq
23	احمد بن محمد بن سعيد بن عقده	أحمد بن محمد بن سعيد بن عقدة قال	books/kitab-al-ghayba-numani/2/10/40.json	kitab-al-ghayba-numani
22	ابيه عمن ذكره	أَبِيهِ عَمَّنْ ذَكَرَهُ	books/al-kafi/8/1/45/9.json	al-kafi
22	عبد الله بن حماد البصري	عَبْدِ اللَّهِ بْنِ حَمَّادٍ الْبَصْرِيِّ	books/kamil-al-ziyarat/2/108/1.json	kamil-al-ziyarat
22	علي بن محمد بن سالم	عَلِيِّ بْنِ مُحَمَّدِ بْنِ سَالِمٍ	books/kamil-al-ziyarat/2/108/11.json	kamil-al-ziyarat
21	محمد بن علي بن محبوب عن احمد بن محمد	مُحَمّدُ بنُ عَلِيّ بنِ مَحبُوبٍ عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/4/10/1.json	al-istibsar
21	الحسين بن محمد عن معلي بن محمد	الحُسَينِ بنِ مُحَمّدٍ عَن مُعَلّي بنِ مُحَمّدٍ	books/al-istibsar/4/2/1.json	al-istibsar
21	عبيد الله بن موسي العلوي	عبيد الله بن موسى العلوي قال	books/kitab-al-ghayba-numani/2/10/36.json	kitab-al-ghayba-numani
21	اما ما رواه - الحسين بن سعيد	أَمَّا مَا رَوَاهُ - اَلْحُسَيْنُ بْنُ سَعِيدٍ	books/tahdhib-al-ahkam/9/1/104.json	tahdhib-al-ahkam
20	العلاء عن محمد بن مسلم	العَلَاءِ عَن مُحَمّدِ بنِ مُسلِمٍ	books/al-istibsar/4/42/3.json	al-istibsar
20	احمد بن علي الرازي	أحمد بن علي الرازي	books/kitab-al-ghayba-tusi/27/3.json	kitab-al-ghayba-tusi
